NumeroFattura	Quantita	CostoUnit	PrezzoUnit
ORDST1022            	1	59,29	119,95
ORDST1015            	1	3290,55	6589,95
ORDST1016            	10	35	34,95
ORDST1017            	50	91,59	189,95
ORDST1018            	1	59,29	119,95
INV1010              	1	674,5	1349,95
INV1011              	1	91,25	189,95
INV1012              	1	303,85	609,95
ORDST1020            	1	59,29	119,95
ORDST1021            	1	59,29	119,95
INV1015              	1	179,85	359,95
INV1016              	1	3,29	9,95
INV1017              	1	2998,15	5999,95
BKO1001              	1	34550	69109,95
BKO1003              	10	41,98	89,95
INV1020              	3	4,55	9,95
INV1022              	4	93,55	189,95
INV1023              	10	1197	2399,95
INV1013              	5	93,55	189,95
INV1014              	3	3,29	9,95
INVPS1001            	1	92,59	189,95
INVPS1002            	4	4,55	9,95
INVPS1003            	2	27,98	59,95
INV1018              	25	0,16	0,35
INV1019              	1	674,5	1349,95
INVPS1005            	1	303,85	609,95
INVPS1006            	1	50,25	109,95
INVPS1007            	5	9,81	19,95
INV1024              	1	59,29	119,95
INV1025              	1	50,25	109,95
INVSP1002            	1	5,98	19,95
INVSP1003            	1	59,29	119,95
INVSP1004            	2	18,65	39,95
INVPS1004            	2	93,55	189,95
INVPS1004            	1	395,1	854,5
ORD1002              	1	3,29	9,95
ORD1003              	1	35000	70009,95
ORD1004              	1	34550	69109,95
INVSP1000            	4	93,55	189,95
INVSP1001            	1	50,25	109,95
STDINV2263000        	1	4,55	9,95
STDINV2262000        	1	40,5	49,95
STDINV2262000        	1	49,5	49,95
STDINV2265002        	100	184,5	189,95
STDINV2265000        	100	184,5	189,95
STDINV2264000        	100	224,1	224,99
STDINV2264000        	15	238,5	239,95
STDINV2263000        	10	238,5	239,95
STDINV2263003        	10	238,5	239,95
STDINV2263003        	1	4,55	9,95
STDINV2264003        	100	224,1	224,99
STDINV2264003        	15	238,5	239,95
STDINV2265003        	100	184,5	189,95
STDINV2263001        	1	4,55	9,95
STDINV2262001        	1	40,5	49,95
STDINV2262001        	1	49,5	49,95
STDINV2262003        	1	40,5	49,95
STDINV2262003        	1	49,5	49,95
STDINV2265005        	100	184,5	189,95
STDINV2265001        	100	184,5	189,95
STDINV2264001        	100	224,1	224,99
STDINV2264001        	15	238,5	239,95
STDINV2263001        	10	238,5	239,95
STDINV2262005        	1	49,5	49,95
STDINV2263005        	10	238,5	239,95
STDINV2263005        	1	4,55	9,95
STDINV2264005        	100	224,1	224,99
STDINV2264005        	15	238,5	239,95
STDINV2263           	1	4,55	9,95
STDINV2264           	100	224,1	224,99
STDINV2264           	15	238,5	239,95
STDINV2265           	100	184,5	189,95
STDINV2262005        	1	40,5	49,95
ORDST1023            	1	5,98	19,95
ORDST1023            	3	41,98	89,95
STDINV2262           	1	40,5	49,95
STDINV2262           	1	49,5	49,95
STDINV2263           	10	238,5	239,95
ORDST1019            	2	38,59	79,95
ORDST1019            	1	41,98	89,95
ORDST1018            	4	4,55	9,95
ORDST1012            	2	89	179,95
ORDST1013            	1	50,25	109,95
ORDST1013            	9	4,55	9,95
ORDST1014            	1	91,59	189,95
ORDST1014            	1	149,95	295,65
ORDST1002            	1	303,85	609,95
ORDST1008            	1	2998,15	5999,95
ORDST1009            	25	0,16	0,35
ORDST1010            	1	674,5	1349,95
ORDST1011            	2	115,85	239,95
ORDPH1007            	1	50,25	109,95
ORDRP1000            	1	18,65	39,95
ORDSPEC1000          	1	59,29	119,95
ORDSPEC1001          	2	18,65	39,95
ORDST1002            	1	18,65	39,95
ORDPH1003            	100	0,54	0
ORDPH1003            	80	35	0
ORDPH1004            	1	18,65	39,95
ORDPH1005            	2	93,55	189,95
ORDPH1006            	1	303,85	609,95
ORDPH1002            	5	9,81	19,95
ORDPH1003            	1	35,89	79,95
ORDPH1003            	1	5072,3	10149,95
ORDPH1003            	10	41,98	0
ORDPH1003            	10	179,85	0
ORDST2030            	2	55,5	59,95
ORDST2031            	5	55,5	59,95
ORD1008              	1	50,25	109,95
ORD1009              	1	1197	2399,95
ORDPH1001            	1	34550	69109,95
ORDST2025            	10	1197	2399,95
ORDST2026            	1	59,29	119,95
ORDST2027            	1	50,25	109,95
ORDST2028            	10	55,5	59,95
ORDST2029            	10	55,5	59,95
ORDST2020            	2	2998,15	5999,95
ORDST2021            	1	2998,15	5999,95
ORDST2022            	1	674,5	1349,95
ORDST2023            	3	4,55	9,95
ORDST2024            	4	93,55	189,95
ORDST2015            	1	303,85	609,95
ORDST2016            	5	93,55	189,95
ORDST2017            	3	3,29	9,95
ORDST2018            	2	179,85	359,95
ORDST2019            	3	3,29	9,95
ORDST2010            	2	93,55	189,95
ORDST2011            	5	3,29	9,95
ORDST2012            	5	4,55	9,95
ORDST2013            	1	674,5	1349,95
ORDST2014            	1	92,59	189,95
ORDST2005            	1	479,05	959,95
ORDST2006            	5	35,89	79,95
ORDST2007            	2	75,15	149,95
ORDST2008            	3	59,5	119,95
ORDST2009            	2	5,98	19,95
ORDST2000            	5	303,85	609,95
ORDST2001            	6	93,55	189,95
ORDST2002            	6	92,59	189,95
ORDST2003            	4	27,98	119,95
ORDST2004            	2	92,59	189,95
ORDST1025            	4	0	9,95
ORDST1025            	5	879,05	1759,95
ORDST1026            	3	879,05	1759,95
ORDST1026            	5	4,55	9,95
ORDST1026            	2	38,59	79,95
ORDST2071            	3	92,59	189,95
ORDST2072            	6	91,59	189,95
ORDST1024            	3	4,55	9,95
ORDST1024            	1	41,98	89,95
ORDST1025            	1	5,98	19,95
ORDST2066            	2	4,55	9,95
ORDST2067            	4	27,98	59,95
ORDST2068            	2	93,55	189,95
ORDST2069            	1	303,85	609,95
ORDST2070            	1	50,25	109,95
ORDST2060            	4	55,5	59,95
ORDST2061            	1	55,5	59,95
ORDST2063            	1	669	1339,95
ORDST2064            	5,5	0	34,95
ORDST2065            	1	92,59	189,95
ORDST2055            	2	38,59	79,95
ORDST2056            	1	1197	2399,95
ORDST2057            	4	38,59	79,95
ORDST2058            	1	1197	2399,95
ORDST2059            	1	1197	2399,95
ORDST2050            	1	1197	2399,95
ORDST2051            	2	1197	2399,95
ORDST2052            	1	1197	2399,95
ORDST2053            	1	3,29	9,95
ORDST2054            	1	1197	2399,95
ORDST2045            	2	1197	2399,95
ORDST2046            	1	1197	2399,95
ORDST2047            	2	1197	2399,95
ORDST2048            	2	1197	2399,95
ORDST2049            	1	1197	2399,95
ORDST2040            	1	3,29	9,95
ORDST2041            	1	3,29	9,95
ORDST2042            	2	55,5	59,95
ORDST2043            	5	55,5	59,95
ORDST2044            	1	59,29	119,95
ORDST2035            	10	55,5	59,95
ORDST2036            	5	3,29	9,95
ORDST2037            	2	3,29	9,95
ORDST2038            	1	3,29	9,95
ORDST2039            	2	3,29	9,95
ORDST2111            	1	92,59	189,95
ORDST2112            	4	4,55	9,95
ORDST2032            	1	55,5	59,95
ORDST2033            	2	59,29	119,95
ORDST2034            	5	55,5	59,95
ORDST2106            	2	1197	2399,95
ORDST2107            	1	55,5	59,95
ORDST2108            	8	55,5	59,95
ORDST2109            	1	669	1339,95
ORDST2110            	12	0	34,95
ORDST2101            	6	669	1339,95
ORDST2102            	3	38,59	79,95
ORDST2103            	9	1197	2399,95
ORDST2104            	10	38,59	79,95
ORDST2105            	12	1197	2399,95
ORDST2096            	4	3,29	9,95
ORDST2097            	2	59,5	119,95
ORDST2098            	10	50,25	109,95
ORDST2099            	4	18,65	39,95
ORDST2100            	2	5,98	19,95
ORDST2091            	1	59,5	119,95
ORDST2092            	4	6921,88	13849,95
ORDST2093            	3	50,25	109,95
ORDST2094            	12	4,55	9,95
ORDST2095            	36	4,55	9,95
ORDST2086            	3	90,25	189,95
ORDST2087            	3	6921,88	13849,95
ORDST2088            	4	91,59	189,95
ORDST2089            	3	90,25	189,95
ORDST2090            	2	479,05	959,95
ORDST2081            	2	59,5	119,95
ORDST2082            	2	50,25	109,95
ORDST2083            	4	18,65	39,95
ORDST2084            	1	5,98	19,95
ORDST2085            	2	669	1339,95
ORDST2076            	2	6921,88	13849,95
ORDST2077            	1	50,25	109,95
ORDST2078            	5	4,55	9,95
ORDST2079            	3	4,55	9,95
ORDST2080            	2	3,29	9,95
ORDST2152            	1	59,29	119,95
ORDST2153            	1	1400	2809,95
ORDST2073            	4	90,25	189,95
ORDST2074            	2	479,05	959,95
ORDST2075            	3	59,5	119,95
ORDST2147            	2	3,29	9,95
ORDST2148            	1	3,29	9,95
ORDST2149            	2	3,29	9,95
ORDST2150            	1	3,29	9,95
ORDST2151            	1	3,29	9,95
ORDST2142            	10	1400	2809,95
ORDST2143            	1	59,29	119,95
ORDST2144            	1	50,25	109,95
ORDST2145            	2	59,29	119,95
ORDST2146            	5	3,29	9,95
ORDST2137            	2	2998,15	5999,95
ORDST2138            	1	3463,73	6929,95
ORDST2139            	1	674,5	1349,95
ORDST2140            	3	4,55	9,95
ORDST2141            	4	93,55	189,95
ORDST2132            	1	303,85	609,95
ORDST2133            	5	93,55	189,95
ORDST2134            	3	3,29	9,95
ORDST2135            	2	179,85	359,95
ORDST2136            	3	3,29	9,95
ORDST2127            	2	5,98	19,95
ORDST2128            	2	93,55	189,95
ORDST2129            	5	3,29	9,95
ORDST2130            	5	4,55	9,95
ORDST2131            	1	92,59	189,95
ORDST2121            	2	92,59	189,95
ORDST2122            	1	479,05	959,95
ORDST2123            	5	35,89	79,95
ORDST2125            	2	75,15	159,95
ORDST2126            	3	59,5	119,95
ORDST2116            	1	50,25	109,95
ORDST2117            	5	303,85	609,95
ORDST2118            	6	90,25	189,95
ORDST2119            	6	92,59	189,95
ORDST2120            	4	27,98	59,95
ORDST2191            	2	669	1339,95
ORDST2192            	3	90,25	189,95
ORDST2113            	6	27,98	59,95
ORDST2114            	3	90,25	189,95
ORDST2115            	2	303,85	609,95
ORDST2186            	2	3,29	9,95
ORDST2187            	2	59,5	119,95
ORDST2188            	2	50,25	109,95
ORDST2189            	4	18,65	39,95
ORDST2190            	1	5,98	19,95
ORDST2181            	3	59,5	119,95
ORDST2182            	2	6921,88	13849,95
ORDST2183            	1	50,25	109,95
ORDST2184            	5	4,55	9,95
ORDST2185            	3	4,55	9,95
