"ID";"descrizione";"Data";"Tipo_di_costo";"Importo"
"14/5";"ESSELUNGA FIRENZE";"2020-03-31";"% variabile MARCHIO";"10404,17"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2020-03-31";"% variabile MARCHIO";"1594,7"
"14/127";"GS SPA (IPERMERCATI)";"2020-03-31";"% variabile MARCHIO";"1139,33"
"14/128";"GS SPA (DIPERDI')";"2020-03-31";"% variabile MARCHIO";"55,72"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-03-31";"% variabile MARCHIO";"394,24"
"14/80";"ASPIAG SERVICES SRL            ";"2020-03-31";"% variabile MARCHIO";"10080,56"
"14/126";"MAIORA SRL   ";"2020-03-31";"% variabile MARCHIO";"1793,13"
"14/5";"ESSELUNGA FIRENZE";"2021-03-31";"% variabile MARCHIO";"10404,17"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2021-03-31";"% variabile MARCHIO";"1594,7"
"14/127";"GS SPA (IPERMERCATI)";"2021-03-31";"% variabile MARCHIO";"1139,33"
"14/128";"GS SPA (DIPERDI')";"2021-03-31";"% variabile MARCHIO";"55,72"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-03-31";"% variabile MARCHIO";"394,24"
"14/80";"ASPIAG SERVICES SRL            ";"2021-03-31";"% variabile MARCHIO";"10080,56"
"14/126";"MAIORA SRL   ";"2021-03-31";"% variabile MARCHIO";"1793,13"
"14/5";"ESSELUNGA FIRENZE";"2020-06-30";"% variabile MARCHIO";"8854,5"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2020-06-30";"% variabile MARCHIO";"1071,5399999999997"
"14/127";"GS SPA (IPERMERCATI)";"2020-06-30";"% variabile MARCHIO";"1065,9500000000003"
"14/128";"GS SPA (DIPERDI')";"2020-06-30";"% variabile MARCHIO";"48,91"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2020-06-30";"% variabile MARCHIO";"365,73"
"14/80";"ASPIAG SERVICES SRL            ";"2020-06-30";"% variabile MARCHIO";"8710,739999999998"
"14/126";"MAIORA SRL   ";"2020-06-30";"% variabile MARCHIO";"1055,1599999999999"
"14/5";"ESSELUNGA FIRENZE";"2021-06-30";"% variabile MARCHIO";"8854,5"
"14/1";"UNICOOP FIRENZE S.C.R.L.   ";"2021-06-30";"% variabile MARCHIO";"1071,5399999999997"
"14/127";"GS SPA (IPERMERCATI)";"2021-06-30";"% variabile MARCHIO";"1065,9500000000003"
"14/128";"GS SPA (DIPERDI')";"2021-06-30";"% variabile MARCHIO";"48,91"
"14/4";"COOP CENTRO ITALIA SOCIETA' COOPERATIVA  ";"2021-06-30";"% variabile MARCHIO";"365,73"
